user_id,age,birth_year,birth_month,gender,employment_type,marital_status,marriage_years,has_newborn_within_2y,is_household_head,is_homeless,annual_income,spouse_income,combined_annual_income,credit_score_kcb,total_existing_debt,net_asset,has_existing_jeonse_loan
U0001,35,1991,12,여,계약직,기혼,4,N,Y,N,3609,1294,4903,795,6383,0,N
U0002,35,1991,12,여,계약직,기혼,12,N,Y,Y,7400,5569,12969,734,9366,5648,Y
U0003,22,2004,5,남,무직,미혼,0,N,N,Y,1196,0,1196,813,1121,1237,N
U0004,36,1990,1,남,정규직,미혼,0,N,Y,Y,7175,0,7175,739,9662,21692,N
U0005,43,1983,10,남,프리랜서,미혼,0,N,Y,Y,8450,0,8450,716,9587,0,N
U0006,44,1982,7,남,프리랜서,이혼,0,N,Y,Y,7991,0,7991,719,11159,27412,N
U0007,27,1999,12,여,자영업,미혼,0,N,Y,Y,2653,0,2653,664,3817,11950,Y
U0008,46,1980,1,남,정규직,사별,0,N,N,Y,3497,0,3497,633,5944,2338,N
U0009,35,1991,12,여,계약직,미혼,0,N,Y,Y,8969,0,8969,873,2515,10933,N
U0010,24,2002,5,여,정규직,미혼,0,N,N,Y,1792,0,1792,953,6262,7581,Y
U0011,37,1989,5,남,정규직,기혼,17,N,Y,Y,4474,1304,5778,637,7914,3789,N
U0012,19,2007,6,남,학생,미혼,0,N,Y,Y,3026,0,3026,521,10297,0,N
U0013,28,1998,5,남,계약직,기혼,1,N,Y,Y,3158,2465,5623,600,9631,145,N
U0014,40,1986,12,여,계약직,기혼,16,N,Y,N,4331,163,4494,885,6610,10829,N
U0015,27,1999,4,여,자영업,기혼,6,N,Y,N,5154,1318,6472,717,5176,11587,N
U0016,28,1998,3,남,프리랜서,미혼,0,N,N,Y,5889,0,5889,719,9387,26818,N
U0017,32,1994,11,여,정규직,기혼,7,N,Y,Y,4623,3264,7887,495,12033,7879,N
U0018,22,2004,6,여,프리랜서,미혼,0,N,Y,Y,2953,0,2953,650,6037,9575,N
U0019,31,1995,12,남,정규직,기혼,2,N,Y,N,5041,2841,7882,820,15294,0,N
U0020,48,1978,4,남,계약직,기혼,7,N,Y,Y,7076,1311,8387,778,17323,24393,N
U0021,39,1987,11,남,무직,기혼,18,N,N,Y,5999,1890,7889,619,17838,21000,N
U0022,46,1980,5,여,정규직,기혼,14,N,Y,Y,5028,2113,7141,716,5720,12621,N
U0023,31,1995,12,남,정규직,미혼,0,N,Y,Y,4748,0,4748,557,5497,17698,N
U0024,27,1999,5,남,계약직,기혼,2,Y,N,Y,5548,596,6144,802,16864,8756,N
U0025,56,1970,9,여,무직,기혼,25,N,Y,Y,5423,4188,9611,677,8139,15134,Y
U0026,42,1984,2,남,계약직,이혼,0,N,N,Y,7628,0,7628,860,24927,8310,N
U0027,34,1992,1,여,정규직,기혼,9,N,Y,Y,6817,4844,11661,479,23849,16243,N
U0028,39,1987,11,여,정규직,기혼,17,N,Y,Y,4767,470,5237,597,12890,18486,N
U0029,64,1962,4,남,계약직,기혼,0,N,Y,Y,10930,8482,19412,666,31834,18411,N
U0030,24,2002,5,여,무직,미혼,0,N,N,Y,1464,0,1464,733,3909,1632,N
U0031,44,1982,6,남,계약직,기혼,14,N,Y,N,3107,381,3488,920,814,14366,N
U0032,56,1970,7,남,정규직,기혼,22,N,N,Y,8246,6332,14578,508,1327,39231,N
U0033,42,1984,5,남,프리랜서,미혼,0,N,N,N,5094,0,5094,883,8145,6228,N
U0034,48,1978,10,여,계약직,기혼,6,N,Y,Y,8488,4756,13244,680,24905,20490,N
U0035,62,1964,5,여,프리랜서,기혼,14,N,N,Y,10699,7822,18521,670,36221,34166,N
U0036,36,1990,11,여,정규직,이혼,0,N,Y,Y,3978,0,3978,450,13175,1507,N
U0037,55,1971,12,여,정규직,기혼,14,N,N,N,2894,1687,4581,450,3633,5619,N
U0038,28,1998,6,남,정규직,기혼,0,Y,N,N,4793,3253,8046,636,1844,24187,N
U0039,43,1983,5,여,정규직,기혼,0,Y,Y,Y,7803,3252,11055,756,2206,28293,Y
U0040,28,1998,7,여,정규직,기혼,6,N,Y,Y,4248,2402,6650,696,5565,2188,N
U0041,45,1981,5,여,정규직,기혼,18,N,Y,Y,6340,4566,10906,637,2549,10694,N
U0042,24,2002,11,남,학생,미혼,0,N,N,Y,1779,0,1779,833,980,3204,N
U0043,34,1992,8,여,정규직,미혼,0,N,Y,Y,2237,0,2237,695,1074,3392,N
U0044,44,1982,7,여,자영업,기혼,12,N,Y,Y,8609,4523,13132,791,25070,35182,N
U0045,65,1961,3,남,계약직,기혼,8,N,Y,Y,8842,4927,13769,803,15291,33031,N
U0046,21,2005,2,남,학생,미혼,0,N,N,Y,2041,0,2041,889,5656,8207,N
U0047,44,1982,3,여,정규직,기혼,9,N,Y,Y,7752,345,8097,652,8945,22507,N
U0048,47,1979,11,남,무직,기혼,13,N,Y,Y,4780,3865,8645,647,5717,19450,N
U0049,47,1979,12,여,무직,미혼,0,N,Y,Y,10726,0,10726,578,29425,2812,N
U0050,40,1986,9,남,프리랜서,기혼,16,N,N,Y,8342,1934,10276,602,26432,0,N
U0051,21,2005,8,남,학생,미혼,0,N,N,Y,2955,0,2955,796,1546,15950,N
U0052,25,2001,10,여,계약직,미혼,0,N,Y,Y,2611,0,2611,729,8907,0,N
U0053,40,1986,3,남,정규직,기혼,10,N,N,Y,8454,3339,11793,667,24011,0,N
U0054,39,1987,2,여,정규직,기혼,12,N,Y,N,5707,4723,10430,573,9911,12941,N
U0055,25,2001,12,여,자영업,기혼,3,Y,N,N,2560,1387,3947,590,6088,11627,N
U0056,30,1996,11,여,정규직,미혼,0,N,Y,Y,4595,0,4595,869,6224,12978,N
U0057,43,1983,9,여,계약직,기혼,5,N,N,Y,8556,3700,12256,773,4159,39033,Y
U0058,33,1993,6,남,정규직,기혼,12,N,Y,Y,5885,645,6530,770,10358,25710,N
U0059,37,1989,10,남,자영업,미혼,0,N,Y,N,5363,0,5363,748,16214,0,N
U0060,32,1994,4,여,정규직,기혼,5,N,Y,N,3858,1308,5166,705,10271,7347,N
U0061,62,1964,8,여,계약직,기혼,2,N,N,Y,10700,1957,12657,698,18534,47757,N
U0062,44,1982,11,남,계약직,미혼,0,N,Y,Y,9908,0,9908,748,19344,13948,N
U0063,30,1996,9,여,정규직,기혼,4,N,Y,Y,2726,965,3691,636,8321,6435,N
U0064,31,1995,3,여,계약직,기혼,6,N,Y,Y,4464,3219,7683,940,11365,13615,N
U0065,29,1997,4,여,계약직,기혼,3,N,Y,Y,4890,3884,8774,703,9815,11700,N
U0066,24,2002,10,남,정규직,미혼,0,N,N,Y,2259,0,2259,630,415,5792,N
U0067,38,1988,9,남,무직,이혼,0,N,Y,N,4231,0,4231,1000,5879,10277,N
U0068,22,2004,11,여,자영업,미혼,0,N,Y,Y,1367,0,1367,537,3227,302,N
U0069,35,1991,5,여,정규직,기혼,1,N,Y,Y,7803,6123,13926,863,18852,21323,N
U0070,53,1973,8,여,정규직,미혼,0,N,Y,Y,6929,0,6929,597,12259,18568,N
U0071,21,2005,1,남,학생,미혼,0,N,Y,Y,766,0,766,976,185,4214,Y
U0072,43,1983,3,남,정규직,기혼,0,N,Y,Y,5969,1924,7893,710,4798,15064,N
U0073,25,2001,7,여,자영업,미혼,0,N,Y,N,2471,0,2471,629,7055,7517,N
U0074,31,1995,9,여,자영업,기혼,6,N,Y,Y,5821,2343,8164,717,17304,3073,N
U0075,34,1992,10,남,자영업,기혼,3,N,Y,Y,3242,576,3818,797,10314,0,N
U0076,52,1974,2,여,무직,기혼,10,N,N,Y,5725,2737,8462,668,4434,4262,N
U0077,21,2005,3,남,학생,미혼,0,N,N,N,2010,0,2010,695,238,10185,N
U0078,41,1985,1,남,프리랜서,기혼,8,N,Y,Y,6516,3865,10381,690,9820,31947,N
U0079,45,1981,2,여,프리랜서,기혼,17,N,Y,Y,8326,585,8911,809,9654,44053,N
U0080,20,2006,10,남,학생,미혼,0,N,N,Y,800,0,800,589,455,1109,N
U0081,61,1965,6,남,프리랜서,기혼,25,N,N,Y,5202,4161,9363,569,12029,0,N
U0082,22,2004,9,여,계약직,미혼,0,N,Y,Y,2152,0,2152,788,5908,8286,Y
U0083,28,1998,12,여,자영업,기혼,3,N,Y,Y,4099,2932,7031,560,6316,8133,N
U0084,31,1995,6,남,정규직,기혼,3,N,Y,Y,4840,3921,8761,870,7820,17084,N
U0085,61,1965,9,남,자영업,기혼,11,N,Y,Y,7344,5708,13052,784,17085,624,N
U0086,34,1992,12,남,정규직,미혼,0,N,Y,Y,4197,0,4197,772,14127,0,N
U0087,24,2002,4,남,프리랜서,미혼,0,N,N,Y,1801,0,1801,765,1175,6701,N
U0088,42,1984,9,여,프리랜서,기혼,19,N,Y,Y,5464,2126,7590,571,3299,20968,N
U0089,57,1969,9,남,자영업,기혼,4,N,Y,Y,7575,5573,13148,840,5173,16264,N
U0090,53,1973,9,남,무직,기혼,8,N,Y,Y,5302,3707,9009,682,772,22933,N
U0091,54,1972,11,여,자영업,기혼,4,N,N,Y,9249,4482,13731,574,5451,51661,N
U0092,51,1975,8,남,자영업,기혼,8,N,Y,Y,2680,1810,4490,690,7212,3352,N
U0093,52,1974,5,여,정규직,기혼,10,N,Y,Y,9672,6481,16153,866,1555,36646,N
U0094,57,1969,1,여,정규직,기혼,23,N,Y,Y,7899,4725,12624,604,30,23823,N
U0095,47,1979,11,남,정규직,미혼,0,N,Y,Y,3477,0,3477,674,9106,14721,N
U0096,45,1981,11,여,정규직,기혼,19,N,Y,Y,4660,216,4876,781,14645,19433,N
U0097,23,2003,2,남,정규직,미혼,0,N,Y,Y,2652,0,2652,565,4651,4750,N
U0098,58,1968,1,남,정규직,기혼,13,N,Y,Y,2495,1413,3908,713,5746,373,Y
U0099,34,1992,11,남,정규직,기혼,8,N,Y,Y,4921,1538,6459,718,9885,16808,N
U0100,26,2000,10,여,무직,미혼,0,N,Y,Y,3271,0,3271,771,5905,0,N
U0101,23,2003,4,남,무직,미혼,0,N,N,Y,1501,0,1501,840,4996,0,N
U0102,44,1982,2,남,자영업,기혼,12,N,Y,Y,6045,4954,10999,529,5009,8302,N
U0103,58,1968,8,여,정규직,기혼,27,N,Y,Y,8174,5742,13916,709,23915,5767,N
U0104,20,2006,3,남,정규직,미혼,0,N,N,Y,2276,0,2276,690,4639,1721,N
U0105,37,1989,6,남,정규직,이혼,0,N,Y,Y,4040,0,4040,605,9153,8124,N
U0106,41,1985,5,남,정규직,미혼,0,N,Y,Y,8675,0,8675,619,8530,38323,N
U0107,47,1979,3,남,자영업,기혼,25,N,Y,Y,7324,4379,11703,635,3643,39967,N
U0108,50,1976,1,남,정규직,기혼,22,N,N,Y,9618,7036,16654,834,32335,7199,N
U0109,37,1989,7,여,프리랜서,기혼,9,N,Y,Y,9642,7775,17417,450,32572,0,N
U0110,20,2006,4,남,학생,미혼,0,N,N,Y,725,0,725,942,1112,1396,N
U0111,31,1995,3,남,무직,기혼,1,N,N,N,5582,2046,7628,634,8483,0,N
U0112,44,1982,8,남,정규직,미혼,0,N,Y,Y,9839,0,9839,596,16308,1276,N
U0113,36,1990,2,여,프리랜서,기혼,13,N,N,Y,6875,4913,11788,767,12886,29591,N
U0114,19,2007,7,남,계약직,기혼,1,N,Y,Y,984,498,1482,615,1101,3823,N
U0115,56,1970,2,남,자영업,기혼,27,N,Y,Y,5698,1855,7553,569,747,10281,N
U0116,20,2006,3,여,학생,기혼,1,N,N,Y,2495,1283,3778,733,780,6640,N
U0117,19,2007,8,남,학생,기혼,0,N,Y,Y,1913,1033,2946,739,2494,5804,N
U0118,31,1995,9,남,정규직,기혼,10,N,Y,N,5307,2712,8019,739,157,9148,N
U0119,50,1976,9,여,계약직,기혼,3,N,Y,Y,4488,1240,5728,692,14957,10533,N
U0120,58,1968,6,남,정규직,기혼,20,N,N,N,8047,3470,11517,878,23811,29067,N
U0121,34,1992,5,여,정규직,기혼,7,N,Y,Y,4986,2630,7616,648,2091,19796,N
U0122,35,1991,8,여,정규직,기혼,5,N,Y,Y,8458,930,9388,732,12839,16820,N
U0123,34,1992,5,남,무직,미혼,0,N,Y,N,4388,0,4388,587,6660,15164,N
U0124,24,2002,5,남,정규직,미혼,0,N,Y,Y,2774,0,2774,702,468,2429,N
U0125,19,2007,2,여,무직,미혼,0,N,Y,Y,1960,0,1960,771,2026,15,N
U0126,29,1997,5,여,정규직,미혼,0,N,N,N,6291,0,6291,883,7931,22190,N
U0127,59,1967,7,여,자영업,기혼,20,N,N,Y,3193,1972,5165,930,1159,16963,N
U0128,24,2002,9,남,정규직,기혼,2,N,N,Y,1725,1065,2790,695,2910,5588,N
U0129,41,1985,7,남,정규직,미혼,0,N,Y,Y,3616,0,3616,624,12411,10240,Y
U0130,34,1992,10,여,계약직,기혼,5,N,Y,Y,3264,947,4211,720,9481,14182,N
U0131,22,2004,1,남,무직,미혼,0,N,N,Y,3086,0,3086,805,5728,0,N
U0132,38,1988,5,여,정규직,이혼,0,N,N,Y,3934,0,3934,816,5683,14036,N
U0133,40,1986,12,남,계약직,기혼,17,N,Y,Y,7670,2722,10392,717,7676,35506,N
U0134,24,2002,12,남,학생,미혼,0,N,N,Y,2639,0,2639,508,7378,1429,N
U0135,44,1982,4,남,정규직,기혼,5,N,Y,N,8146,826,8972,806,7534,6149,N
U0136,27,1999,9,남,프리랜서,기혼,2,N,Y,Y,3262,592,3854,742,3789,5793,N
U0137,39,1987,1,여,정규직,기혼,16,N,Y,Y,9288,1520,10808,453,5442,50692,N
U0138,24,2002,6,남,계약직,미혼,0,N,Y,Y,2051,0,2051,696,4127,1213,N
U0139,26,2000,5,여,자영업,미혼,0,N,N,Y,2950,0,2950,754,8227,11055,N
U0140,30,1996,4,여,정규직,기혼,8,N,Y,Y,5161,1109,6270,899,2070,20252,N
U0141,20,2006,6,여,무직,미혼,0,N,N,Y,2119,0,2119,624,2346,4636,Y
U0142,27,1999,9,남,자영업,미혼,0,N,N,Y,2562,0,2562,678,167,8092,Y
U0143,21,2005,9,남,학생,미혼,0,N,N,Y,2196,0,2196,786,3430,1186,N
U0144,24,2002,6,남,자영업,미혼,0,N,N,Y,2771,0,2771,834,2554,8152,N
U0145,33,1993,11,여,정규직,미혼,0,N,Y,Y,5643,0,5643,778,16021,16849,N
U0146,34,1992,11,남,자영업,기혼,11,N,Y,Y,2612,997,3609,773,9076,9158,N
U0147,65,1961,7,남,프리랜서,기혼,5,N,Y,Y,2351,1566,3917,665,3968,468,N
U0148,36,1990,7,남,정규직,기혼,7,N,N,Y,7188,3322,10510,718,6486,0,N
U0149,28,1998,7,여,정규직,미혼,0,N,Y,Y,6945,0,6945,552,9678,2710,N
U0150,61,1965,2,남,자영업,기혼,11,N,Y,Y,5459,4568,10027,631,11731,11984,N
U0151,20,2006,11,남,무직,기혼,0,N,N,Y,1518,510,2028,606,3915,0,N
U0152,26,2000,9,여,프리랜서,기혼,6,N,N,Y,4325,1386,5711,651,7321,3634,N
U0153,26,2000,7,여,계약직,미혼,0,N,N,Y,3897,0,3897,788,12918,9884,N
U0154,62,1964,6,여,자영업,기혼,28,N,N,N,6417,5369,11786,666,20573,1890,N
U0155,26,2000,6,여,계약직,기혼,2,Y,Y,Y,6801,1983,8784,766,9976,26212,N
U0156,65,1961,9,여,프리랜서,기혼,9,N,Y,N,2429,204,2633,825,1389,3017,N
U0157,59,1967,6,여,계약직,기혼,15,N,Y,Y,2706,1411,4117,451,8223,6581,N
U0158,19,2007,3,남,학생,미혼,0,N,N,Y,808,0,808,782,472,481,Y
U0159,37,1989,1,남,정규직,기혼,10,N,N,Y,9096,7228,16324,663,30196,15591,N
U0160,47,1979,6,여,계약직,기혼,0,N,Y,Y,4696,3057,7753,702,13115,10831,N
U0161,39,1987,11,여,정규직,기혼,2,Y,Y,Y,7324,1694,9018,669,497,4021,N
U0162,47,1979,1,여,정규직,기혼,2,N,Y,N,4251,1379,5630,670,188,24797,N
U0163,36,1990,5,여,정규직,기혼,6,N,Y,Y,7667,6343,14010,730,404,36814,N
U0164,24,2002,3,남,정규직,미혼,0,N,Y,N,2650,0,2650,836,7018,9453,N
U0165,43,1983,3,남,자영업,기혼,14,N,Y,Y,5570,3,5573,650,3617,457,N
U0166,20,2006,3,남,학생,미혼,0,N,N,Y,2085,0,2085,638,6103,5393,N
U0167,45,1981,10,여,정규직,기혼,23,N,Y,Y,10501,8574,19075,864,19540,4721,N
U0168,43,1983,10,여,자영업,이혼,0,N,N,Y,9978,0,9978,821,29505,11693,N
U0169,29,1997,4,남,정규직,기혼,0,N,N,Y,6612,2873,9485,590,2182,18243,N
U0170,46,1980,10,여,정규직,미혼,0,N,N,Y,9021,0,9021,658,29107,5347,N
U0171,24,2002,12,여,계약직,기혼,4,N,Y,Y,2645,333,2978,655,6900,5608,N
U0172,56,1970,2,여,프리랜서,기혼,11,N,Y,Y,7899,5168,13067,827,4679,15776,N
U0173,24,2002,2,여,정규직,미혼,0,N,Y,Y,1999,0,1999,758,1810,5198,N
U0174,30,1996,2,남,정규직,미혼,0,N,N,Y,6903,0,6903,848,12287,23852,N
U0175,29,1997,4,여,계약직,기혼,4,N,N,Y,2341,1104,3445,708,7351,5793,N
U0176,24,2002,12,남,계약직,미혼,0,N,N,Y,2306,0,2306,781,4559,490,Y
U0177,23,2003,10,여,계약직,미혼,0,N,N,Y,1200,0,1200,764,3275,0,N
U0178,22,2004,10,여,프리랜서,미혼,0,N,N,N,1712,0,1712,727,4651,4121,N
U0179,43,1983,11,남,자영업,기혼,14,N,Y,Y,8793,3448,12241,586,1679,27709,N
U0180,21,2005,12,남,학생,미혼,0,N,Y,Y,1768,0,1768,790,2246,4686,N
U0181,42,1984,5,남,프리랜서,미혼,0,N,Y,Y,7358,0,7358,717,22029,13988,Y
U0182,19,2007,11,여,학생,미혼,0,N,Y,Y,3184,0,3184,841,1798,5217,N
U0183,21,2005,6,여,학생,미혼,0,N,N,Y,884,0,884,700,3054,1175,N
U0184,39,1987,4,남,정규직,미혼,0,N,Y,Y,8162,0,8162,566,5923,28113,N
U0185,35,1991,3,남,정규직,기혼,10,N,N,Y,6322,191,6513,762,10192,27979,N
U0186,65,1961,9,남,정규직,기혼,12,N,Y,Y,9041,2369,11410,768,27144,25721,N
U0187,21,2005,8,여,학생,미혼,0,N,Y,N,2738,0,2738,872,1272,11493,N
U0188,28,1998,5,여,계약직,기혼,7,N,Y,Y,2956,288,3244,657,9915,5359,N
U0189,26,2000,7,여,자영업,미혼,0,N,Y,Y,6214,0,6214,672,6795,27420,N
U0190,40,1986,7,남,정규직,기혼,10,N,N,N,6173,159,6332,575,10270,9083,N
U0191,22,2004,7,남,정규직,미혼,0,N,N,Y,2639,0,2639,542,5030,1829,N
U0192,25,2001,2,남,정규직,기혼,4,N,Y,Y,2904,368,3272,796,5400,4627,N
U0193,21,2005,1,여,학생,기혼,0,N,Y,Y,3145,293,3438,714,4752,9147,N
U0194,42,1984,11,여,프리랜서,이혼,0,N,Y,Y,8642,0,8642,747,26017,33601,N
U0195,25,2001,10,여,자영업,기혼,0,N,N,Y,5705,2553,8258,836,5579,15732,N
U0196,30,1996,5,여,계약직,미혼,0,N,Y,Y,3660,0,3660,578,10056,1503,N
U0197,20,2006,10,남,학생,미혼,0,N,N,Y,2635,0,2635,726,4864,0,N
U0198,45,1981,3,여,계약직,기혼,9,N,Y,N,10302,2046,12348,789,24645,13674,N
U0199,26,2000,5,여,정규직,미혼,0,N,Y,Y,5425,0,5425,737,12868,25906,N
U0200,65,1961,2,남,정규직,기혼,19,N,Y,Y,10099,4859,14958,587,34186,37514,N
U0201,21,2005,3,여,자영업,미혼,0,N,N,Y,1621,0,1621,687,3067,2937,N
U0202,25,2001,9,여,프리랜서,미혼,0,N,Y,Y,6099,0,6099,678,1496,8933,N
U0203,33,1993,1,여,계약직,기혼,4,N,N,Y,3924,283,4207,599,1922,4535,N
U0204,42,1984,11,남,자영업,기혼,7,N,N,Y,3991,2218,6209,587,6582,18790,Y
U0205,30,1996,12,여,정규직,미혼,0,N,N,Y,2859,0,2859,820,7647,6699,N
U0206,19,2007,12,여,학생,미혼,0,N,N,Y,2400,0,2400,552,1732,8607,N
U0207,43,1983,9,남,정규직,기혼,20,N,Y,Y,4356,2950,7306,605,7233,2068,N
U0208,52,1974,10,여,정규직,기혼,23,N,Y,Y,9011,2498,11509,454,3093,39050,N
U0209,23,2003,1,여,자영업,미혼,0,N,N,Y,1045,0,1045,592,2208,3912,N
U0210,34,1992,3,남,자영업,미혼,0,N,Y,N,5721,0,5721,910,10096,10550,N
U0211,22,2004,10,남,무직,기혼,1,N,N,N,1654,1110,2764,635,3667,6774,Y
U0212,25,2001,2,여,정규직,미혼,0,N,Y,Y,3041,0,3041,809,5947,0,N
U0213,26,2000,6,여,자영업,미혼,0,N,Y,Y,4457,0,4457,518,14031,5804,N
U0214,35,1991,5,여,정규직,이혼,0,N,Y,Y,5427,0,5427,679,8431,17355,N
U0215,29,1997,4,여,정규직,미혼,0,N,Y,Y,2912,0,2912,661,6305,390,N
U0216,22,2004,9,남,정규직,미혼,0,N,Y,Y,3021,0,3021,988,8126,13164,N
U0217,35,1991,3,남,정규직,기혼,12,N,Y,Y,5502,1526,7028,663,10138,21084,N
U0218,25,2001,5,여,무직,미혼,0,N,N,N,2620,0,2620,674,6674,4083,N
U0219,22,2004,11,여,무직,미혼,0,N,N,Y,2564,0,2564,766,3426,7151,Y
U0220,28,1998,1,남,계약직,기혼,7,N,N,Y,5779,2854,8633,773,11440,24617,N
U0221,60,1966,1,여,자영업,기혼,20,N,N,Y,8898,1386,10284,872,16933,38452,N
U0222,38,1988,9,남,계약직,기혼,2,Y,Y,Y,5437,3194,8631,822,2645,14005,N
U0223,19,2007,8,여,학생,미혼,0,N,Y,Y,1935,0,1935,771,1714,454,N
U0224,43,1983,10,남,계약직,미혼,0,N,Y,Y,4519,0,4519,740,3030,7101,N
U0225,50,1976,2,여,자영업,기혼,4,N,Y,Y,4594,2820,7414,831,6187,10250,N
U0226,33,1993,11,남,정규직,미혼,0,N,Y,Y,6892,0,6892,783,17885,28184,N
U0227,62,1964,9,여,무직,기혼,14,N,Y,Y,6475,3458,9933,753,1198,3862,N
U0228,53,1973,9,남,계약직,사별,0,N,Y,Y,10234,0,10234,757,13741,14549,N
U0229,33,1993,3,남,자영업,미혼,0,N,Y,N,5161,0,5161,537,5789,0,Y
U0230,39,1987,2,여,정규직,미혼,0,N,Y,Y,7604,0,7604,962,11244,18970,N
U0231,32,1994,11,남,계약직,기혼,8,N,Y,Y,3627,1768,5395,771,12161,9845,N
U0232,33,1993,3,남,계약직,기혼,8,N,N,Y,3222,2635,5857,574,8370,5364,N
U0233,41,1985,5,여,정규직,기혼,8,N,Y,Y,4669,595,5264,913,5075,11781,N
U0234,26,2000,7,여,자영업,기혼,0,N,N,Y,3333,1618,4951,754,5836,374,N
U0235,31,1995,5,남,정규직,기혼,5,N,Y,Y,4479,938,5417,686,2272,12340,N
U0236,20,2006,8,여,무직,미혼,0,N,N,N,2987,0,2987,909,3146,15265,N
U0237,26,2000,3,여,정규직,기혼,2,N,Y,Y,3768,2227,5995,731,2423,9442,N
U0238,23,2003,6,여,학생,미혼,0,N,N,Y,2879,0,2879,562,9520,10616,N
U0239,24,2002,9,여,프리랜서,미혼,0,N,N,Y,1885,0,1885,731,6242,6184,N
U0240,42,1984,2,남,계약직,기혼,10,N,N,Y,4486,1462,5948,793,6646,13293,Y
U0241,33,1993,1,남,정규직,미혼,0,N,Y,N,6414,0,6414,784,11907,1155,N
U0242,47,1979,9,여,무직,미혼,0,N,Y,Y,2323,0,2323,790,2116,8987,N
U0243,39,1987,10,남,정규직,기혼,0,N,Y,Y,3538,2310,5848,618,321,14641,N
U0244,34,1992,3,남,정규직,기혼,12,N,Y,Y,2467,148,2615,513,8219,1994,N
U0245,34,1992,3,여,정규직,기혼,13,N,Y,Y,4338,1431,5769,702,1370,11064,N
U0246,49,1977,3,남,정규직,기혼,9,N,N,Y,4659,189,4848,867,1248,1971,N
U0247,32,1994,11,여,정규직,기혼,4,N,N,Y,3213,214,3427,804,7573,5122,Y
U0248,27,1999,3,남,정규직,미혼,0,N,N,Y,3103,0,3103,710,291,9295,N
